Hhold,Rice.Total,Fish.Total,Meat.Total,Veg.Total,Other.Total,Date
KB020202,0,100,0,170,195,5/1/2017
KB010202,0,200,0,50,275,5/1/2017
KB030202,0,100,0,170,200,5/1/2017
AM120202,240,50,0,150,105,5/1/2017
AM100202,300,50,0,150,150,5/1/2017
KB050202,300,0,0,160,210,5/1/2017
AM010202,300,0,0,220,225,5/1/2017
AM090202,0,200,0,150,210,5/1/2017
AM080202,210,0,0,150,200,5/1/2017
AM050202,0,0,0,150,210,5/1/2017
AM040202,0,50,0,60,210,5/1/2017
AM060202,0,150,0,200,225,5/1/2017
CH020226,0,0,0,0,1490,5/1/2017
CH330226,0,0,0,0,0,5/1/2017
CH330202,0,185,0,0,260,5/1/2017
CH270202,220,140,0,0,365,5/1/2017
CH230202,300,220,0,70,230,5/1/2017
CH280227,0,130,0,20,150,5/1/2017
CH010202,2490,150,50,40,305,5/1/2017
CB060202,0,0,0,215,415,5/1/2017
CH170202,0,0,0,40,75,5/1/2017
CB110202,0,0,0,25,95,5/1/2017
CB190202,275,0,0,70,150,5/1/2017
CB200202,250,0,0,40,135,5/1/2017
CB090202,0,100,0,30,172,5/1/2017
CB010202,286,0,0,55,295,5/1/2017
CB210202,0,0,0,0,50,5/1/2017
CB010202,330,0,0,0,300,6/1/2017
CB090202,0,150,0,35,205,6/1/2017
CB210202,0,0,0,30,35,6/1/2017
CB200202,550,180,0,45,486,6/1/2017
CB190202,110,0,200,85,90,6/1/2017
AM090202,0,440,0,150,110,6/1/2017
AM040202,300,250,0,150,210,6/1/2017
AM050202,0,450,300,300,260,6/1/2017
AM100202,300,70,0,50,250,6/1/2017
AM120202,150,0,0,80,250,6/1/2017
KB010202,0,180,0,150,210,6/1/2017
KB030202,300,120,0,160,375,6/1/2017
KB020202,150,200,0,160,210,6/1/2017
KB050202,200,150,0,150,250,6/1/2017
CH270202,300,100,450,110,370,6/1/2017
CH280227,165,0,450,15,420,6/1/2017
AM060202,0,100,300,200,210,6/1/2017
AM080202,150,150,0,150,210,6/1/2017
CB060202,0,100,0,20,226,6/1/2017
CB110202,0,0,0,30,145,6/1/2017
AM010202,300,250,0,150,210,6/1/2017
CH170202,0,0,0,0,670,6/1/2017
CH010202,500,200,0,50,250,6/1/2017
CH230202,0,170,0,35,462,6/1/2017
CH330202,330,160,0,0,110,6/1/2017
CH330226,0,0,0,0,28,6/1/2017
CH020226,0,175,0,0,64,6/1/2017
