Hhold.ID,Interview.Date,Fish.Date,KG.Catch,Total.Profit
CH38,7/3/2017,6/28/2017,2,890
CH38,7/3/2017,6/28/2017,2,890
CH38,7/3/2017,6/29/2017,0.5,250
CH38,7/3/2017,6/29/2017,0.5,250
KB03,7/3/2017,6/30/2017,1,300
KB03,7/3/2017,6/30/2017,1,300
AM20,7/3/2017,6/30/2017,1,500
AM20,7/3/2017,6/30/2017,1,500
AM09,7/3/2017,6/30/2017,1,400
CH28,7/3/2017,6/30/2017,1.25,440
CH28,7/3/2017,6/30/2017,1.25,440
KB07,7/3/2017,6/30/2017,2,900
KB07,7/3/2017,6/30/2017,2,900
AM11,7/3/2017,6/30/2017,2,800
AM11,7/3/2017,6/30/2017,2,800
AM21,7/3/2017,6/30/2017,2,900
AM21,7/3/2017,6/30/2017,2,900
AM01,7/3/2017,6/30/2017,2,1200
AM01,7/3/2017,6/30/2017,2.5,1200
CH17,7/2/2017,7/1/2017,1,150
KB01,7/3/2017,7/1/2017,1,500
KB01,7/3/2017,7/1/2017,1,500
KB03,7/3/2017,7/1/2017,1,500
KB03,7/3/2017,7/1/2017,1,500
AM20,7/3/2017,7/1/2017,1,400
AM20,7/3/2017,7/1/2017,1,400
AM09,7/3/2017,7/1/2017,2,500
CH28,7/3/2017,7/1/2017,1,290
CH28,7/3/2017,7/1/2017,1,290
KB07,7/3/2017,7/1/2017,1,500
KB07,7/3/2017,7/1/2017,1,500
AM11,7/3/2017,7/1/2017,1,500
AM11,7/3/2017,7/1/2017,1,500
AM19,7/3/2017,7/1/2017,1,500
AM19,7/3/2017,7/1/2017,1,500
AM21,7/3/2017,7/1/2017,2,900
AM21,7/3/2017,7/1/2017,2,900
AM01,7/3/2017,7/1/2017,1,550
AM01,7/3/2017,7/1/2017,1,550
AM10,7/4/2017,7/1/2017,0,0
AM10,7/4/2017,7/1/2017,0,0
AM12,7/4/2017,7/1/2017,1,280
AM12,7/4/2017,7/1/2017,1,280
CH05,7/5/2017,7/1/2017,1,250
CH05,7/5/2017,7/1/2017,1,250
AM06,7/4/2017,7/1/2017,2,600
AM03,7/5/2017,7/1/2017,3,900
AM05,7/4/2017,7/1/2017,3,1200
AM05,7/4/2017,7/1/2017,3,1200
AM10,7/4/2017,7/1/2017,3,1200
AM10,7/4/2017,7/1/2017,3,1200
AM05,7/4/2017,7/1/2017,3,1500
CH32,7/4/2017,7/1/2017,1,150
KB01,7/3/2017,7/2/2017,1,400
KB01,7/3/2017,7/2/2017,1,400
KB03,7/3/2017,7/2/2017,1,400
KB03,7/3/2017,7/2/2017,1,400
AM20,7/3/2017,7/2/2017,1,500
AM20,7/3/2017,7/2/2017,1,500
AM09,7/3/2017,7/2/2017,2,600
CH28,7/3/2017,7/2/2017,0.8,230
CH28,7/3/2017,7/2/2017,0.8,230
KB07,7/3/2017,7/2/2017,1,500
KB07,7/3/2017,7/2/2017,1,500
AM11,7/3/2017,7/2/2017,1,300
AM11,7/3/2017,7/2/2017,1,300
AM13,7/26/2017,7/2/2017,2,900
AM13,7/26/2017,7/2/2017,2,900
AM19,7/3/2017,7/2/2017,2,900
AM19,7/3/2017,7/2/2017,2,900
AM21,7/3/2017,7/2/2017,2,800
AM21,7/3/2017,7/2/2017,2,800
AM01,7/3/2017,7/2/2017,2,800
AM01,7/3/2017,7/2/2017,2,800
AM10,7/4/2017,7/2/2017,1,500
AM10,7/4/2017,7/2/2017,1,500
AM12,7/4/2017,7/2/2017,0,0
AM12,7/4/2017,7/2/2017,0,0
CH05,7/5/2017,7/2/2017,0.4,150
CH05,7/5/2017,7/2/2017,0.4,150
AM06,7/4/2017,7/2/2017,3,700
AM03,7/5/2017,7/2/2017,1.5,500
AM05,7/4/2017,7/2/2017,2,700
AM05,7/4/2017,7/2/2017,2,700
AM10,7/4/2017,7/2/2017,2,800
AM10,7/4/2017,7/2/2017,2,800
AM05,7/4/2017,7/2/2017,3,1500
CH32,7/4/2017,7/2/2017,1,250
KB04,7/6/2017,7/2/2017,0,0
KB06,7/6/2017,7/2/2017,0,0
DP01,7/5/2017,7/2/2017,1,500
DP01,7/5/2017,7/2/2017,1,500
NY25,7/5/2017,7/2/2017,2,350
NY18,7/5/2017,7/2/2017,2,800
CH23,7/5/2017,7/2/2017,0.7,230
CH23,7/5/2017,7/2/2017,0.7,230
CB10,7/6/2017,7/2/2017,0.8,125
CB08,7/6/2017,7/2/2017,0.8,125
CB19,7/6/2017,7/2/2017,0.8,230
AM10,7/4/2017,7/3/2017,1,600
AM10,7/4/2017,7/3/2017,1,600
AM12,7/4/2017,7/3/2017,1,300
AM12,7/4/2017,7/3/2017,1,300
AM06,7/4/2017,7/3/2017,2,400
AM05,7/4/2017,7/3/2017,2,870
AM05,7/4/2017,7/3/2017,2,870
AM10,7/4/2017,7/3/2017,3,1500
AM10,7/4/2017,7/3/2017,3,1500
AM05,7/4/2017,7/3/2017,3,950
CH32,7/4/2017,7/3/2017,1,275
KB04,7/6/2017,7/3/2017,2,250
KB06,7/6/2017,7/3/2017,2,800
DP01,7/5/2017,7/3/2017,1,300
DP01,7/5/2017,7/3/2017,1,300
NY25,7/5/2017,7/3/2017,2,350
NY18,7/5/2017,7/3/2017,2,600
CH23,7/5/2017,7/3/2017,0.8,270
CH23,7/5/2017,7/3/2017,0.8,270
CB10,7/6/2017,7/3/2017,1,200
CB08,7/6/2017,7/3/2017,1,200
AM07,7/6/2017,7/3/2017,0.5,200
AM04,7/6/2017,7/3/2017,1,600
KB02,7/6/2017,7/3/2017,1,600
AM08,7/6/2017,7/3/2017,2,900
AM08,7/6/2017,7/3/2017,2,900
KB05,7/6/2017,7/3/2017,2,800
KB05,7/6/2017,7/3/2017,2,800
DP01,7/5/2017,7/4/2017,1,500
DP01,7/5/2017,7/4/2017,1,500
CH05,7/5/2017,7/4/2017,0.5,230
CH05,7/5/2017,7/4/2017,0.5,230
NY25,7/5/2017,7/4/2017,1,200
NY18,7/5/2017,7/4/2017,2,500
AM03,7/5/2017,7/4/2017,1.5,450
CH23,7/5/2017,7/4/2017,1,360
CH23,7/5/2017,7/4/2017,1,360
CB10,7/6/2017,7/4/2017,1,175
CB08,7/6/2017,7/4/2017,1,175
AM07,7/6/2017,7/4/2017,0,0
AM04,7/6/2017,7/4/2017,1,500
KB02,7/6/2017,7/4/2017,2,900
KB02,7/6/2017,7/4/2017,2,900
AM08,7/6/2017,7/4/2017,1,500
AM08,7/6/2017,7/4/2017,1,500
KB05,7/6/2017,7/4/2017,2,800
KB05,7/6/2017,7/4/2017,2,800
CB19,7/6/2017,7/4/2017,0.8,250
KB04,7/6/2017,7/5/2017,1,250
KB06,7/6/2017,7/5/2017,1,500
AM07,7/6/2017,7/5/2017,1,600
AM04,7/6/2017,7/5/2017,1,500
KB02,7/6/2017,7/5/2017,1,500
KB02,7/6/2017,7/5/2017,1,500
AM08,7/6/2017,7/5/2017,1,400
AM08,7/6/2017,7/5/2017,1,400
KB05,7/6/2017,7/5/2017,2,900
KB05,7/6/2017,7/5/2017,2,900
CB19,7/6/2017,7/5/2017,1,320
CB11,7/10/2017,7/5/2017,0.25,80
CB11,7/10/2017,7/5/2017,0.25,80
CB06,7/9/2017,7/6/2017,0.5,150
CH04,7/9/2017,7/6/2017,0.5,230
CB06,7/9/2017,7/7/2017,1,100
CH04,7/9/2017,7/7/2017,0.8,270
CB11,7/10/2017,7/7/2017,0.5,180
CB11,7/10/2017,7/7/2017,0.5,180
CB20,7/10/2017,7/7/2017,1.5,540
CB06,7/9/2017,7/8/2017,1.5,200
CH04,7/9/2017,7/8/2017,0.5,180
CB20,7/10/2017,7/8/2017,2,630
CB02,7/11/2017,7/8/2017,0.5,100
AM13,7/11/2017,7/8/2017,1,500
AM13,7/11/2017,7/8/2017,1,500
KB01,7/12/2017,7/8/2017,1,600
KB01,7/12/2017,7/8/2017,1,600
AM06,7/11/2017,7/8/2017,1,600
CH10,7/11/2017,7/8/2017,1,320
KB03,7/13/2017,7/8/2017,1,600
KB03,7/13/2017,7/8/2017,1,600
KB07,7/11/2017,7/8/2017,1,500
KB07,7/11/2017,7/8/2017,1,500
AM09,7/11/2017,7/8/2017,2,700
AM09,7/11/2017,7/8/2017,2,700
KB05,7/11/2017,7/8/2017,2,800
KB05,7/11/2017,7/8/2017,2,800
AM01,7/11/2017,7/8/2017,2,800
AM01,7/11/2017,7/8/2017,2,800
CB20,7/10/2017,7/9/2017,1.5,450
CB11,7/10/2017,7/9/2017,0.5,150
CB11,7/10/2017,7/9/2017,0.5,150
CB02,7/11/2017,7/9/2017,0.5,100
AM13,7/11/2017,7/9/2017,1,600
AM13,7/11/2017,7/9/2017,1,600
KB01,7/12/2017,7/9/2017,1,600
KB01,7/12/2017,7/9/2017,1,600
AM06,7/11/2017,7/9/2017,1,500
CH10,7/11/2017,7/9/2017,1.5,360
KB03,7/13/2017,7/9/2017,1.5,900
KB03,7/13/2017,7/9/2017,1.5,900
KB07,7/11/2017,7/9/2017,2,800
KB07,7/11/2017,7/9/2017,2,800
AM09,7/11/2017,7/9/2017,1,300
AM09,7/11/2017,7/9/2017,1,300
KB05,7/11/2017,7/9/2017,2,700
KB05,7/11/2017,7/9/2017,2,700
AM01,7/11/2017,7/9/2017,2,700
AM01,7/11/2017,7/9/2017,2,700
CB03,7/12/2017,7/9/2017,1,200
KB02,7/13/2017,7/9/2017,2,900
KB02,7/13/2017,7/9/2017,2,900
AM19,7/12/2017,7/9/2017,2,900
AM19,7/12/2017,7/9/2017,2,900
NY17,7/12/2017,7/9/2017,2,350
NY18,7/12/2017,7/9/2017,2,700
CH18,7/12/2017,7/9/2017,0.3,140
CH18,7/12/2017,7/9/2017,0.3,140
CB04,7/12/2017,7/9/2017,0.4,75
CH21,7/12/2017,7/9/2017,0.4,230
CB02,7/11/2017,7/10/2017,0.5,100
AM13,7/11/2017,7/10/2017,1,500
AM13,7/11/2017,7/10/2017,1,500
AM06,7/11/2017,7/10/2017,3,1100
CH10,7/11/2017,7/10/2017,1,270
KB03,7/13/2017,7/10/2017,1,600
KB03,7/13/2017,7/10/2017,1,600
KB07,7/11/2017,7/10/2017,1,500
KB07,7/11/2017,7/10/2017,1,500
AM09,7/11/2017,7/10/2017,3,1500
AM09,7/11/2017,7/10/2017,3,1500
KB05,7/11/2017,7/10/2017,2,1200
KB05,7/11/2017,7/10/2017,2,1200
AM01,7/11/2017,7/10/2017,3,1500
AM01,7/11/2017,7/10/2017,3,1500
CB03,7/12/2017,7/10/2017,1,175
KB02,7/13/2017,7/10/2017,1,600
KB02,7/13/2017,7/10/2017,1,600
AM19,7/12/2017,7/10/2017,2,1200
NY17,7/12/2017,7/10/2017,2,350
NY18,7/12/2017,7/10/2017,2,700
CH18,7/12/2017,7/10/2017,0.5,230
CH18,7/12/2017,7/10/2017,0.5,230
