Date,week,KG.Catch_median,Total.Profit_median
7/1/2017,1,1,500
7/8/2017,2,1,500
7/15/2017,3,1.5,600
7/22/2017,4,2,600
7/29/2017,5,1,500
8/5/2017,6,1.5,600
8/12/2017,7,1,500
8/19/2017,8,1.5,500
8/26/2017,9,1,470
9/2/2017,10,1.5,481.5
9/9/2017,11,1.5,450
9/16/2017,12,2,500
9/23/2017,13,2,580
9/30/2017,14,2,475
10/7/2017,15,2,450
10/14/2017,16,1.5,382.5
10/21/2017,17,2,450
10/28/2017,18,2,405
7/1/2018,53,4,570
7/8/2018,54,2,285
7/15/2018,55,3,450
7/22/2018,56,2,410
7/29/2018,57,1.5,405
8/5/2018,58,1,450
8/12/2018,59,1,450
8/19/2018,60,1.5,580
8/26/2018,61,1,340
9/2/2018,62,1,630
9/9/2018,63,1,630
9/16/2018,64,1,630
9/23/2018,65,1,705
9/30/2018,66,1,540
10/7/2018,67,1,540
10/14/2018,68,1,450
10/21/2018,69,1,450
10/28/2018,70,1,505
