HholdID,IndivID,Gender,G2,Specific.Season,age,bmi.rate,catch.median,income.median,rice.med,meat.med,fish.med,veg.med,other.med,total.med,hhold.size.r17,Meghna.close,log.income,log.expT,log.rice,log.fish,log.veg
AM01,AM010101,1,Male,2,43.5,0,3,1215,60,0,0,45,70,190,2,1,7.102499356,5.247024072,4.094344562,0,3.80666249
AM01,AM010202,2,Female,2,20.5,-1.05785124,3,1215,60,0,0,45,70,190,2,1,7.102499356,5.247024072,4.094344562,0,3.80666249
AM03,AM030101,1,Male,2,30.5,-0.871374266,4,1350,137,0,50,0,40,217,4,0,7.207859871,5.379897354,4.919980926,3.912023005,0
AM04,AM040202,2,Female,2,42.5,-0.947324495,2,550,120,0,0,50,70,270,4,1,6.309918278,5.598421959,4.787491743,0,3.912023005
AM05,AM050104,1,Male,2,28.5,0,1.75,565,135,0,0,50,67.5,315,8,1,6.336825731,5.752572639,4.905274778,0,3.912023005
AM05,AM050101,1,Male,2,63.5,-1.731341037,1.75,565,135,0,0,50,67.5,315,8,1,6.336825731,5.752572639,4.905274778,0,3.912023005
AM05,AM050202,2,Female,2,48.5,-2.31385071,1.75,565,135,0,0,50,67.5,315,8,1,6.336825731,5.752572639,4.905274778,0,3.912023005
AM06,AM060101,1,Male,2,73.5,0.281478701,1,550,180,0,55,50,70,357.5,2,1,6.309918278,5.879135362,5.192956851,4.007333185,3.912023005
AM06,AM060202,2,Female,2,63.5,0,1,550,180,0,55,50,70,357.5,2,1,6.309918278,5.879135362,5.192956851,4.007333185,3.912023005
AM08,AM080202,2,Female,2,33.5,-2.054419284,2,540,60,0,0,40,70,170,4,1,6.29156914,5.135798437,4.094344562,0,3.688879454
AM09,AM090202,2,Female,2,25.5,-0.447422288,3,1100,90,0,0,50,70,210,5,1,7.003065459,5.347107531,4.49980967,0,3.912023005
AM09,AM090101,1,Male,2,30.5,1.602307323,3,1100,90,0,0,50,70,210,5,1,7.003065459,5.347107531,4.49980967,0,3.912023005
AM10,AM100101,1,Male,2,38.5,-1.831485705,2,855,120,0,20,50,50,255,4,1,6.751101469,5.541263545,4.787491743,2.995732274,3.912023005
AM10,AM100202,2,Female,2,33.5,-1.289975813,2,855,120,0,20,50,50,255,4,1,6.751101469,5.541263545,4.787491743,2.995732274,3.912023005
AM12,AM120202,2,Female,2,31.5,0.540657439,1,300,60,0,0,20,60,140,4,1,5.703782475,4.941642423,4.094344562,0,2.995732274
AM12,AM120101,1,Male,2,40.5,0.045043016,1,300,60,0,0,20,60,140,4,1,5.703782475,4.941642423,4.094344562,0,2.995732274
AM13,AM130101,1,Male,2,44.5,4.254199377,2,765,90,0,0,50,70,210,4,1,6.639875834,5.347107531,4.49980967,0,3.912023005
AM21,AM210101,1,Male,2,47.5,-2.68814425,2,750,120,0,100,50,70,290,5,1,6.620073207,5.669880923,4.787491743,4.605170186,3.912023005
AM21,AM210202,2,Female,2,40.5,1.83855214,2,750,120,0,100,50,70,290,5,1,6.620073207,5.669880923,4.787491743,4.605170186,3.912023005
